date,unit_number,unit_name,topic,slides_url,notebook,activity,reading,notes
05/03/26,1,מהו פרויקט מחקר חישובי במדעי הרוח?,מבוא: הקורס ומטרותיו — מן הכח אל הפועל — נתוני עתק (Big Data),,,"בחרו פרויקט דיגיטלי ומאגר נתונים מתוך: [The Pudding](https://pudding.cool/) / [Open Humanities Data](https://openhumanitiesdata.metajnl.com/)","Drucker 2021, ch. 1",
12/03/26,1,מהו פרויקט מחקר חישובי במדעי הרוח?,ויקיפדיה ורשתות ידע — מבני ידע דיגיטלי,,01_ויקיפדיה_ורשתות_ידע.ipynb,"מחברת 1: עבודה עם ויקיפדיה כמקור נתונים ורשתות ידע","Ghorbaninejad et al. 2023",
19/03/26,1,מהו פרויקט מחקר חישובי במדעי הרוח?,"היסטוריה של מדעי הרוח הדיגיטליים — היסטוריה דיגיטלית — חקר הספרות החישובי (CLS)",,,"**בחירת נושא לפרויקט הקורס** — הצגות בזק בכיתה עם פידבק. **להגשה עד 26/03**","Walsh 2023",
26/03/26,1,מהו פרויקט מחקר חישובי במדעי הרוח?,הצגות בזק של תלמידים — פידבק מובנה של חברי הכיתה,,,"הצגת בזק של פרויקט מחקר (5 דקות לתלמיד)","Walsh 2023",הצגות
02/04/26,2,דיגיטציה ומידול נתונים,קריאה מרחוק (Distant Reading) — כלים טקסטואליים חישוביים,,02_קריאה_מרחוק.ipynb,"מחברת 2: קריאה מרחוק — **[מטלת קריאה מרחוק](/assignments/distant-reading.qmd) להגשה עד 23/04**","רוקוול וסינקלייר 2016",
16/04/26,2,דיגיטציה ומידול נתונים,"OCR, HTR, צילום וסריקת ממצאים — הטיעון בעד markdown",,03_OCR_עברית.ipynb,"מחברת 3: OCR לטקסטים עבריים — **[מטלת OCR](/assignments/ocr.qmd) להגשה עד 30/04**","Arnold and Tilton 2023, ch. 1",אחרי פסח
23/04/26,3,עיבוד נתונים — ממחשוב לחישוב,"מטא-דאטה — אונטולוגיות — נתונים סמנטיים ומקושרים (Linked Open Data)",,,"Recogito / LEAF: סימון והעשרת טקסט — **[מטלת markup](/assignments/markup.qmd) להגשה עד 07/05**","ז'יטומירסקי-גפת 2017",
30/04/26,3,עיבוד נתונים — ממחשוב לחישוב,"עיבוד שפה טבעית (NLP) — מטוקנים לווקטורים — ניתוח נושאי (Topic Modeling)",,04_NLP_ומידול_נושאים.ipynb,מחברת 4: NLP ומידול נושאים — תרגול בכיתה עם jsLDA,"McGillivray and Tóth 2020, chs. 2-3",
07/05/26,3,עיבוד נתונים — ממחשוב לחישוב,"בינה מלאכותית למדעי הרוח — מודלי שפה גדולים (LLMs) — הנדסת פרומפטים",,05_AI_למדעי_הרוח.ipynb,מחברת 5: AI למדעי הרוח — תרגול הנדסת פרומפטים בכיתה,"Bender et al. 2021",
14/05/26,4,הצגה ופרסום,ויזואליזציה: גרפים ורשתות — מפות ומיפוי (GIS),,06_ויזואליזציה_ומפות.ipynb,"מחברת 6: ויזואליזציה ומפות — יצירת ויזואליזציות ב-[Flourish](https://flourish.studio/)","Gavin 2022, ch. 1",
21/05/26,4,הצגה ופרסום,עבודה עצמית על פרויקט הגמר — ניתן לקבוע זום לפגישות אישיות,,,עבודה עצמית על פוסטרים,,עבודה עצמית
28/05/26,4,הצגה ופרסום,הצגת פוסטרים מחקריים — פידבק לפני הגשה,,,**הגשה סופית של הפוסטר לאחר הצגה**,,הצגות פוסטרים
