כותרת,קטגוריה,קישורים_נכנסים,קישורים_יוצאים,סך_קישורים,PageRank
פרויקט גוטנברג,מדעי הרוח הדיגיטליים,28,17,45,0.029421
ארכיון האינטרנט,מדעי הרוח הדיגיטליים,24,14,38,0.026901
פרויקט בן-יהודה,מדעי הרוח הדיגיטליים,28,15,43,0.026171
דעת (אתר אינטרנט),מדעי הרוח הדיגיטליים,34,15,49,0.024051
ויקיטקסט,מדעי הרוח הדיגיטליים,27,16,43,0.023819
אנטישמיות,תולדות עם ישראל,68,44,112,0.023068
היברובוקס,מדעי הרוח הדיגיטליים,29,16,45,0.021855
ספרייה דיגיטלית,מדעי הרוח הדיגיטליים,18,3,21,0.020334
גוגל ספרים,מדעי הרוח הדיגיטליים,21,16,37,0.019683
"פרויקט השו""ת",מדעי הרוח הדיגיטליים,18,16,34,0.018427
אוצר הספרים היהודי השיתופי,מדעי הרוח הדיגיטליים,19,14,33,0.0184
ספריית אסיף,מדעי הרוח הדיגיטליים,18,14,32,0.017853
המילון ההיסטורי ללשון העברית,מדעי הרוח הדיגיטליים,18,19,37,0.0177
אוצר החכמה,מדעי הרוח הדיגיטליים,18,14,32,0.017653
על התורה,מדעי הרוח הדיגיטליים,16,15,31,0.017347
ספריא,מדעי הרוח הדיגיטליים,15,15,30,0.017183
"רמבי""ש",מדעי הרוח הדיגיטליים,15,14,29,0.017118
רשות העתיקות,ארכאולוגיה של ארץ ישראל,29,13,42,0.016189
השואה,תולדות עם ישראל,55,30,85,0.015332
מזהה עצם דיגיטלי,מדעי הרוח הדיגיטליים,20,1,21,0.014682
Online Computer Library Center,מדעי הרוח הדיגיטליים,6,0,6,0.014679
קוד מזהה בין-לאומי,מדעי הרוח הדיגיטליים,1,2,3,0.013137
הכחשת השואה,תולדות עם ישראל,38,32,70,0.011476
מגילות מדבר יהודה,ארכאולוגיה של ארץ ישראל,13,9,22,0.009274
החברה לחקירת ארץ-ישראל ועתיקותיה,ארכאולוגיה של ארץ ישראל,15,8,23,0.008232
אנטישמיות נוצרית,תולדות עם ישראל,32,29,61,0.008015
ארכאולוגיה מקראית,ארכאולוגיה של ארץ ישראל,14,26,40,0.007975
JSTOR,מדעי הרוח הדיגיטליים,18,1,19,0.007747
היסטוריה של עם ישראל,תולדות עם ישראל,22,21,43,0.007519
האנטישמיות החדשה,תולדות עם ישראל,32,28,60,0.006997
שנאת ישראל בעולם היווני-רומי,תולדות עם ישראל,29,28,57,0.00687
מחלקת העתיקות של ממשלת המנדט הבריטי,ארכאולוגיה של ארץ ישראל,11,8,19,0.006687
הארכיון של אנה,מדעי הרוח הדיגיטליים,7,7,14,0.006632
המכון לארכאולוגיה (אוניברסיטת תל אביב),ארכאולוגיה של ארץ ישראל,9,11,20,0.006626
אנטישמיות מודרנית,תולדות עם ישראל,30,25,55,0.006556
היסטוריה של האנטישמיות,תולדות עם ישראל,29,25,54,0.006554
אנטישמיות באירופה,תולדות עם ישראל,29,28,57,0.006554
הספרייה הווירטואלית של מטח,מדעי הרוח הדיגיטליים,12,1,13,0.006405
השאלה היהודית,תולדות עם ישראל,28,23,51,0.00632
כוח המשימה נקסוס,תולדות עם ישראל,28,23,51,0.006314
אנטישמיות מוסלמית,תולדות עם ישראל,28,26,54,0.006271
מבחן שלוש ה-D לאנטישמיות,תולדות עם ישראל,29,22,51,0.006225
עלילות אנטישמיות,תולדות עם ישראל,28,4,32,0.00617
אנטישמיות בגרמניה,תולדות עם ישראל,28,24,52,0.006138
הישות הציונית,תולדות עם ישראל,28,22,50,0.006047
ציר הזמן של האנטישמיות,תולדות עם ישראל,27,38,65,0.006035
אנטישמיות בעולם הערבי,תולדות עם ישראל,27,28,55,0.005988
הכחשת בית המקדש,תולדות עם ישראל,27,27,54,0.005982
מכון ישראלי לארכאולוגיה,ארכאולוגיה של ארץ ישראל,8,9,17,0.005968
דימוי הגבר היהודי כאישה,תולדות עם ישראל,27,24,51,0.005959
"פרעות ""הפ-הפ""",תולדות עם ישראל,27,24,51,0.005959
אף יהודי,תולדות עם ישראל,27,23,50,0.00595
אנטישמיות בוויקיפדיה,תולדות עם ישראל,27,23,50,0.00595
גטו,תולדות עם ישראל,13,4,17,0.005835
"המכון לארכיאולוגיה ע""ש זינמן",ארכאולוגיה של ארץ ישראל,8,9,17,0.005819
המחלקה ללימודי ארץ ישראל וארכאולוגיה באוניברסיטת בר-אילן,ארכאולוגיה של ארץ ישראל,8,7,15,0.005679
המכון לארכיאולוגיה גלילית,ארכאולוגיה של ארץ ישראל,8,7,15,0.005679
העמותה הישראלית לפרהיסטוריה,ארכאולוגיה של ארץ ישראל,7,7,14,0.005593
רולאן דה וו,ארכאולוגיה של ארץ ישראל,10,7,17,0.005417
בר כוכבא,תולדות עם ישראל,8,4,12,0.005149
ויליאם פוקסוול אולברייט,ארכאולוגיה של ארץ ישראל,11,3,14,0.004738
פוגרום,תולדות עם ישראל,15,25,40,0.004632
עשרת השבטים,תולדות עם ישראל,14,3,17,0.00443
גניזת קהיר,תולדות עם ישראל,10,5,15,0.00431
תנאים,תולדות עם ישראל,9,9,18,0.004196
גלות (יהדות),תולדות עם ישראל,12,9,21,0.00412
ג'רלד לנקסטר הרדינג,ארכאולוגיה של ארץ ישראל,6,5,11,0.004092
פלינדרס פיטרי,ארכאולוגיה של ארץ ישראל,8,7,15,0.004085
גירוש הנשים הנוכריות,תולדות עם ישראל,1,0,1,0.003855
רוברט מקאליסטר,ארכאולוגיה של ארץ ישראל,6,5,11,0.003843
התבוללות,תולדות עם ישראל,6,1,7,0.003765
צ'ארלס וורן,ארכאולוגיה של ארץ ישראל,5,2,7,0.003651
ארכאולוגיה של ארץ ישראל,ארכאולוגיה של ארץ ישראל,9,32,41,0.003621
נאו-נאציזם,תולדות עם ישראל,10,2,12,0.003593
צ'ארלס וילסון,ארכאולוגיה של ארץ ישראל,4,2,6,0.0032
ג'ון גרסטנג,ארכאולוגיה של ארץ ישראל,6,2,8,0.003154
חוק העתיקות,ארכאולוגיה של ארץ ישראל,6,2,8,0.003041
Compact Memory,מדעי הרוח הדיגיטליים,1,2,3,0.003039
שאלות ותשובות,תולדות עם ישראל,5,6,11,0.003017
קתלין קניון,ארכאולוגיה של ארץ ישראל,4,3,7,0.00301
רחוב היהודים (אירופה),תולדות עם ישראל,2,2,4,0.002901
