ערך_חסר,מוזכר_ב,קטגוריה
מייקל הארט,פרויקט גוטנברג,מדעי הרוח הדיגיטליים
FictionBook,פרויקט גוטנברג,מדעי הרוח הדיגיטליים
Microsoft Reader,פרויקט גוטנברג,מדעי הרוח הדיגיטליים
Mobipocket,פרויקט גוטנברג,מדעי הרוח הדיגיטליים
Nook,פרויקט גוטנברג,מדעי הרוח הדיגיטליים
ברוסטר קאהל,ארכיון האינטרנט,מדעי הרוח הדיגיטליים
רדווד סיטי,ארכיון האינטרנט,מדעי הרוח הדיגיטליים
אוצרות התורה,ארכיון האינטרנט,מדעי הרוח הדיגיטליים
עמותה למחשוב ספרות עברית,פרויקט בן-יהודה,מדעי הרוח הדיגיטליים
חזי עמיאור,פרויקט בן-יהודה,מדעי הרוח הדיגיטליים
FictionBook,פרויקט בן-יהודה,מדעי הרוח הדיגיטליים
Microsoft Reader,פרויקט בן-יהודה,מדעי הרוח הדיגיטליים
Mobipocket,פרויקט בן-יהודה,מדעי הרוח הדיגיטליים
יהודה איזנברג,דעת (אתר אינטרנט),מדעי הרוח הדיגיטליים
אוצרות התורה,דעת (אתר אינטרנט),מדעי הרוח הדיגיטליים
אוצרות התורה,ויקיטקסט,מדעי הרוח הדיגיטליים
FictionBook,ויקיטקסט,מדעי הרוח הדיגיטליים
Microsoft Reader,ויקיטקסט,מדעי הרוח הדיגיטליים
Mobipocket,ויקיטקסט,מדעי הרוח הדיגיטליים
Nook,ויקיטקסט,מדעי הרוח הדיגיטליים
אנטישמיות באפריקה,אנטישמיות,תולדות עם ישראל
יאיר מינצקר,אנטישמיות,תולדות עם ישראל
קמפוס - המיזם הלאומי ללמידה דיגיטלית,אנטישמיות,תולדות עם ישראל
אנטישמיות כלכלית,אנטישמיות,תולדות עם ישראל
אנטישמיות גזעית,אנטישמיות,תולדות עם ישראל
אוצרות התורה,היברובוקס,מדעי הרוח הדיגיטליים
מאגר דיגיטלי,ספרייה דיגיטלית,מדעי הרוח הדיגיטליים
יאהוו,ספרייה דיגיטלית,מדעי הרוח הדיגיטליים
יריד הספרים בפרנקפורט,גוגל ספרים,מדעי הרוח הדיגיטליים
עמוד (נייר),גוגל ספרים,מדעי הרוח הדיגיטליים
HathiTrust,גוגל ספרים,מדעי הרוח הדיגיטליים
FictionBook,גוגל ספרים,מדעי הרוח הדיגיטליים
Microsoft Reader,גוגל ספרים,מדעי הרוח הדיגיטליים
מפתח (ספרנות),"פרויקט השו""ת",מדעי הרוח הדיגיטליים
אורי שילד,"פרויקט השו""ת",מדעי הרוח הדיגיטליים
שמואל טומי קליין,"פרויקט השו""ת",מדעי הרוח הדיגיטליים
יהונתן שלר,"פרויקט השו""ת",מדעי הרוח הדיגיטליים
אוצרות התורה,"פרויקט השו""ת",מדעי הרוח הדיגיטליים
המקום (מגזין),אוצר הספרים היהודי השיתופי,מדעי הרוח הדיגיטליים
אוצרות התורה,אוצר הספרים היהודי השיתופי,מדעי הרוח הדיגיטליים
אחיה בן פזי,ספריית אסיף,מדעי הרוח הדיגיטליים
מכון משפט לעם,ספריית אסיף,מדעי הרוח הדיגיטליים
מאמינים במשטרה,ספריית אסיף,מדעי הרוח הדיגיטליים
אל הר המור,ספריית אסיף,מדעי הרוח הדיגיטליים
תורת המדינה,ספריית אסיף,מדעי הרוח הדיגיטליים
אוצרות התורה,המילון ההיסטורי ללשון העברית,מדעי הרוח הדיגיטליים
אחזור מידע,אוצר החכמה,מדעי הרוח הדיגיטליים
אוצרות התורה,אוצר החכמה,מדעי הרוח הדיגיטליים
אוצרות התורה,על התורה,מדעי הרוח הדיגיטליים
