נושא,אישור ויקימדיה,הערות ויקימדיה,קטגוריה,קיים_בוויקיפדיה,קישור_אנגלית_עברית,הצעה_לפרויקט,english_term,english_description
ארכאובוטניקה,מאושר חדש,,ארכאולוגיה של ארץ ישראל,FALSE,https://en.wikipedia.org/wiki/Paleoethnobotany,New,,
ארכאומטריה,מאושר חדש ,שים לב שהערך המקביל באנגלית נקרא כך Archaeological science ,ארכאולוגיה של ארץ ישראל,FALSE,-,New,Archaeometry,"Application of scientific analysis (chemical, physical, mathematical) to archaeological materials to determine their age, provenance, and composition"
ארכאולוגיה חישובית,מאושר חדש ,,ארכאולוגיה של ארץ ישראל,FALSE,https://en.wikipedia.org/wiki/Computational_archaeology,New,,
ארכאולוגיה של הנוף,מאושר חדש ,,ארכאולוגיה של ארץ ישראל,FALSE,https://en.wikipedia.org/wiki/Landscape_archaeology,New,,
ארכאולוגיה ביזנטית בנגב,,"ניתן לכתוב כהרחבה, במידה ותרצה - יש לחפש בוויקיפדיה ערך שמתאים לשלב בו הרחבה בנושא זה, אולי כאן - אם זה משתלב לוגית עם הכתוב בערך. אנא עדכן אותי באיזה ערך מצאת לנכון לשלב את ההרחבה.",ארכאולוגיה של ארץ ישראל,FALSE,-,New,Byzantine Archaeology in the Negev,"Study of Byzantine-period (4th–7th c. CE) remains in the Negev desert, including churches, monasteries, towns, and agricultural installations"
ארכאולוגיה של ימי הביניים בארץ ישראל,,"ניתן לכתוב כהרחבה, במידה ותרצה - יש לחפש בוויקיפדיה ערך שמתאים לשלב בו הרחבה בנושא זה, אולי כאן - אם זה משתלב לוגית עם הכתוב בערך. אנא עדכן אותי באיזה ערך מצאת לנכון לשלב את ההרחבה.",ארכאולוגיה של ארץ ישראל,FALSE,-,New,Medieval Archaeology in the Land of Israel,"Archaeological study of the early Islamic, Crusader, Ayyubid, and Mamluk periods (7th–16th c. CE) in Israel/Palestine"
סחר בעתיקות,מאושר חדש ,,ארכאולוגיה של ארץ ישראל,FALSE,https://en.wikipedia.org/wiki/Antiquities_trade,New,,
היסטוריוגרפיה של העלייה הראשונה,מאושר כהרחבה בערך העלייה הראשונה,"רק במידה ואין פירוט על הנושא בערך, האם תת פרק זה מכסה את ההיסטוגרפיה?",תולדות עם ישראל,FALSE,https://he.wikipedia.org/wiki/%D7%94%D7%A2%D7%9C%D7%99%D7%99%D7%94_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94,New,Historiography of the First Aliyah,"Scholarly analysis of how historians have documented and interpreted the First Aliyah (1882–1903), the first wave of modern Jewish immigration to Ottoman Palestine"
יהדות אתיופיה (הרחבה),מאושר לכתיבת הרחבה,אנא עדכן אותי מה יהיה נושא ההרחבה,תולדות עם ישראל,TRUE,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%90%D7%AA%D7%99%D7%95%D7%A4%D7%99%D7%94,Extend,Ethiopian Jewry (Beta Israel),"History and culture of the Beta Israel community, including their religious traditions, practices, and modern immigration to Israel"
ספרות ערבית-יהודית,מאושר כהרחבה,אנא עדכן אותי מה יהיה נושא ההרחבה,תולדות עם ישראל,FALSE,https://he.wikipedia.org/wiki/%D7%A2%D7%A8%D7%91%D7%99%D7%AA_%D7%99%D7%94%D7%95%D7%93%D7%99%D7%AA,Extend/New,Judeo-Arabic Literature,"Literature produced by Jews in Judeo-Arabic (Arabic written in Hebrew script), encompassing religious philosophy, poetry, and science, especially in the medieval Islamic world"
יהדות הודו – קהילות ופזורה (הרחבה),,"בערך כתוב על כל הנושאים שהצעת בעמודה H, האם יש צורך במידע חדש/נוסף שם? לחלופין - האם יש נושאים אחרים שתרצה להרחיב בערך?",תולדות עם ישראל,TRUE,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%94%D7%95%D7%93%D7%95,Extend,Indian Jewry – Communities and Diaspora,"Overview of the distinct Jewish communities of India (Bene Israel, Cochin Jews, Baghdadi Jews), their history, traditions, and diaspora ties"
זיהוי חלקי דיבר,מאושר חדש,,מדעי הרוח הדיגיטליים,FALSE,https://en.wikipedia.org/wiki/Part-of-speech_tagging,New,,
קריאה רחוקה,מאושר חדש,,מדעי הרוח הדיגיטליים,FALSE,https://en.wikipedia.org/wiki/Distant_reading,New,,
רוברטו בוסה,מאושר חדש,,מדעי הרוח הדיגיטליים,FALSE,https://en.wikipedia.org/wiki/Roberto_Busa,New,,
אחזור מידע,מאושר חדש ,,מדעי הרוח הדיגיטליים,FALSE,https://en.wikipedia.org/wiki/Information_retrieval,New,Information Retrieval,"The science of searching for and retrieving relevant documents or data from large collections, foundational to search engines and digital libraries"
חילוץ מידע,מאושר חדש,,מדעי הרוח הדיגיטליים,FALSE,https://en.wikipedia.org/wiki/Information_extraction,New,,
HathiTrust,מאושר חדש ,מה שם הערך שייכתב בעברית?,מדעי הרוח הדיגיטליים,TRUE,https://en.wikipedia.org/wiki/HathiTrust,New,HathiTrust / חתיטראסט,HathiTrust Digital Library is a large-scale collaborative repository of digital content from research libraries  administered by the University of Michigan. Its holdings include content digitized via Google Books and the Internet Archive digitization initiatives
,,,,,,,,
,,,,,,,,
הצעה לערך חדש בעברית שניתן לכתוב: ,,,,,,,,
ארכולוגיה של ימי הביניים (כאן באנגלית),,,,,,,,
