כותרת,קטגוריה,קישורים_נכנסים,קישורים_יוצאים,סך_קישורים,PageRank
ממלכת יהודה,תולדות עם ישראל,5,0,5,0.198489
תקופת הברזל,ארכאולוגיה של ארץ ישראל,2,0,2,0.113742
ספרות עברית,תולדות עם ישראל,1,0,1,0.109504
קריאה מרחוק,מדעי הרוח הדיגיטליים,2,1,3,0.089731
מגידו,ארכאולוגיה של ארץ ישראל,1,1,2,0.061482
גלות בבל,תולדות עם ישראל,1,1,2,0.061482
אשדוד,ארכאולוגיה של ארץ ישראל,0,0,0,0.033234
יריחו,ארכאולוגיה של ארץ ישראל,0,0,0,0.033234
תל חצור,ארכאולוגיה של ארץ ישראל,0,1,1,0.033234
ממלכת ישראל,תולדות עם ישראל,0,1,1,0.033234
תל באר שבע,ארכאולוגיה של ארץ ישראל,0,1,1,0.033234
שיבת ציון,תולדות עם ישראל,0,1,1,0.033234
המרד הגדול,תולדות עם ישראל,0,1,1,0.033234
בית שאן,ארכאולוגיה של ארץ ישראל,0,1,1,0.033234
דיגיטציה,מדעי הרוח הדיגיטליים,0,1,1,0.033234
תל לכיש,ארכאולוגיה של ארץ ישראל,0,1,1,0.033234
ניתוח רשתות חברתיות,מדעי הרוח הדיגיטליים,0,1,1,0.033234
