נושא,קטגוריה,קיים_בוויקיפדיה,הצעה_לפרויקט
ארכאולוגיה תת-ימית בישראל,ארכאולוגיה של ארץ ישראל,False,True
ארכאו-בוטניקה בחפירות ישראל,ארכאולוגיה של ארץ ישראל,False,True
ניתוח איזוטופים בארכאולוגיה,ארכאולוגיה של ארץ ישראל,False,True
ארכאולוגיה דיגיטלית בישראל,ארכאולוגיה של ארץ ישראל,False,True
ארכאולוגיה של הנוף בארץ ישראל,ארכאולוגיה של ארץ ישראל,False,True
ארכאולוגיה ביזנטית בנגב,ארכאולוגיה של ארץ ישראל,False,True
ארכאולוגיה של ימי הביניים בארץ ישראל,ארכאולוגיה של ארץ ישראל,False,True
LiDAR בארכאולוגיה ישראלית,ארכאולוגיה של ארץ ישראל,False,True
ניהול מורשת תרבותית בישראל,ארכאולוגיה של ארץ ישראל,False,True
ארכאולוגיה של מסחר עתיק בארץ ישראל,ארכאולוגיה של ארץ ישראל,False,True
היסטוריוגרפיה יהודית מודרנית,תולדות עם ישראל,False,True
יהדות אתיופיה – היסטוריה,תולדות עם ישראל,False,True
יהדות תימן – ההגירה לישראל,תולדות עם ישראל,False,True
יהודי אמריקה הלטינית – היסטוריה,תולדות עם ישראל,False,True
תולדות הדפוס העברי,תולדות עם ישראל,True,False
נשים בהיסטוריה היהודית,תולדות עם ישראל,False,True
יהדות איראן בעת החדשה,תולדות עם ישראל,False,True
יהודי מרוקו בישראל,תולדות עם ישראל,False,True
ספרות יהודית-ערבית,תולדות עם ישראל,False,True
יהדות הודו – קהילות ופזורה,תולדות עם ישראל,False,True
עיבוד שפה טבעית לעברית,מדעי הרוח הדיגיטליים,False,True
דיגיטציה של כתבי יד עבריים,מדעי הרוח הדיגיטליים,False,True
GIS בארכיאולוגיה,מדעי הרוח הדיגיטליים,False,True
Wikidata לחוקרי מדעי הרוח,מדעי הרוח הדיגיטליים,False,True
Open Access במחקר ישראלי,מדעי הרוח הדיגיטליים,False,True
ניתוח רשת בהיסטוריה,מדעי הרוח הדיגיטליים,False,True
בינה מלאכותית בפרשנות טקסטים,מדעי הרוח הדיגיטליים,False,True
מפות דיגיטליות לחקר ארץ ישראל,מדעי הרוח הדיגיטליים,False,True
הגניזה הקהירית – פרויקטים דיגיטליים,מדעי הרוח הדיגיטליים,False,True
OCR לכתב יד עברי,מדעי הרוח הדיגיטליים,False,True
