title,text,category,pageid,word_count
מדעי הרוח הדיגיטליים,"מדעי הרוח הדיגיטליים (באנגלית: Digital Humanities) הם שדה מחקר, הוראה ויצירה, המצוי בממשק שבין מחשוב לבין תחומי מדעי הרוח השונים. מטרתם של מדעי הרוח הדיגיטליים היא להרחיב ואף להגדיר מחדש את המחקר המסורתי במדעי הרוח, על ידי שימוש בשיטות ובכלים דיגיטליים. בין השאר, היקפו של המידע הזמין דרך המחשב, המאפשר לגשת אל כמויות מידע גדולות בהרבה מאלה שהיו זמינות לאדם היחיד לפני המהפכה הדיגיטלית, וכן מאפייני הפורמט הדיגיטלי, מזמינים שימוש בשיטות חדשות של ניתוח, עיבוד והצגה, וכל זאת במהירות חסרת תקדים. הידע המאוחסן במדיום הדיגיטלי יכול לכלול מוזיקה, תמונות, ציורים, שיחות והרצאות מוקלטות וכן טקסטים מסוגות ובשפות שונות. מדעי הרוח הדיגיטליים הם ניסיון לקחת חלק יצירתי, רפלקטיבי וביקורתי בתהליך זה.


== היסטוריה של מדעי הרוח הדיגיטליים ==
רוברטו בוסה , כומר ישועי איטלקי, נחשב לחלוץ המחשוב במדעי הרוח. בוסה ביקש ליצור כלי לחיפוש מילים בהקשר בתוך הקורפוס העצום של כתבי תומאס מאקווינס. בשנת 1949 נפגש עם תומאס ווטסון, מייסד IBM, והפגישה הובילה ליצירת האינדקס, תחילה במהדורה מודפסת, באמצעות מחשב וכרטיסי ניקוב. במהלך העשורים הבאים התפתח התחום, בדרך כלל תחת הכותרת ""מחשוב במדעי הרוח"" (humanities computing או computation in the humanitie). מספר גדל והולך של חוקרים עושים שימוש בשיטות חישוביות לניתוח של צבירי נתונים...",מדעי הרוח הדיגיטליים,1185594,159
אוצר הספרים היהודי השיתופי,"אוצר הספרים היהודי השיתופי הוא מיזם תרבותי יהודי-שיתופי המבוסס על עבודת מתנדבים, אשר פועל באינטרנט ומטרתו לשמר, להנגיש ולחשוף לציבור מגוון רחב ככל האפשר מארון הספרים התורני, בקלות ובאופן חופשי לעיון, תוך שאיפה להתקנת מהדורות מקושרות, מוגהות ומוערות באיכות גבוהה.
הפרויקט כולל, בין היתר, ספרי פרשנות לתנ""ך, ספרות הלכה, ספרי פרשנות לתלמוד ולמשנה תורה לרמב""ם. ומונגשים בו גם טקסטים קנייניים, בשיתוף פעולה עם בעלי הזכויות.
אתר האינטרנט של הפרויקט מבוסס מדיה-ויקי. גרסתו הרשמית עלתה לרשת בחודש פברואר 2018 (שבט ה'תשע""ח), ונכון לינואר 2025 (טבת ה'תשפ""ה) קיימים בו כ-210,000 דפי תוכן, ורשומים בו כ-2,500 משתמשים.


== תוכן הפרויקט ==
במסגרת האתר, מוגשות לציבור יצירות רבות מן הספרות התורנית לאורך הדורות. חלקן כאלה שהתפרסמו בנחלת הכלל באיכות בסיסית, ומטופלות במסגרת המיזם ליצירה שיתופית של מהדורות משתפרות והולכות. וחלקן מהדורות קנייניות שהועמדו לרשות האתר באדיבות בעלי הזכויות, במטרה לאפשר גישה חינמית ללימוד הטקסטים גם למי שאינו יכול או אינו מעוניין להשקיע כסף ברכישת הכרכים המודפסים.
כל היצירות מוקלדות (ולא נסרקות) וחלקן, בעיקר טקסטים יסודיים של ארון הספרים היהודי, כמו התנ""ך וסידור התפילה, מנוקדות.
המאגר מתמקד ביצירות בעלות אופי תורני מובהק (ובמידת מה מהווה השלמה למיזמים כמו פרויקט בן-יהודה שאינו כולל יצירות...",מדעי הרוח הדיגיטליים,1831025,169
אתר הפיוט והתפילה,"""הזמנה לפיוט"" מבית סנונית הוא מיזם תרבותי-חינוכי הפועל לשימור והחייאת מסורות הפיוט והתפילה בעם היהודי, באמצעות אתר אינטרנט, הוצאה לאור, פעילויות שימור, חינוך בקהילה ואירועי תרבות. המיזם פועל משנת 2004 במסגרת עמותת סנונית, והוא גורם בולט בהפיכת הפיוט לחלק מרכזי בתרבות הישראלית.


== הקמה ==
""הזמנה לפיוט"" הוקם בשנת 2004 בתמיכתה של קרן אבי חי, במטרה להנגיש את מסורות הפיוט היהודיות השונות לקהל רחב. הפלטפורמה שנבחרה לשם כך הייתה אתר אינטרנט באותו שם, שהוקם בספטמבר 2005. עם מייסדי האתר נמנים יאיר הראל, ארגון קהילות שרות וקרן אבי חי, שהעניקה את התשתית הכלכלית לפעילות. באותם ימים נחשב אתר מעין זה למיזם חדשני, מאחר שעד לאותם ימים לא הייתה היכרות רחבה עם עולם הפיוט מחוץ לעולם המסורתי.
בראשית פעילותו פעל האתר תחת השם ""הזמנה לפיוט"" במסגרת עמותת סנונית. האתר הציג טקסטים והקלטות של פיוטים ממסורות שונות ויזם הקלטות תיעוד מקיפות. סביב האתר קמה קהילת גולשים פעילה ותורמת שהעלתה את הקלטותיה לאתר. אמנים ואנשי רוח רבים כתבו באתר על אודות הפיוטים. פעילות זו יצרה תהודה ועניין רב והיוותה אחד הגורמים להתחדשות עולם הפיוט בישראל ובתפוצות, ולפתיחת תוכניות חינוכיות והשקת פעילויות תרבות שונות. עם השנים, הפך האתר להיות משאב תוכן מרכזי עבור פעילות חינוכית ותרבותית בתחום הפיוט, והוא נמצא בשימוש קבוע למדי של מעגלים מעצבי...",מדעי הרוח הדיגיטליים,809180,177
המילון ההיסטורי ללשון העברית,"המילון ההיסטורי ללשון העברית הוא מפעל מחקר רחב היקף של האקדמיה ללשון העברית, שמטרתו להעמיד מילון מדעי ללשון העברית על כל רבדיה ההיסטוריים.
בניגוד למילון שימושי מן הסוג המקובל, שתפקידו העיקרי להגדיר במדויק את משמעויותיהן של המילים המשמשות בשפה, מילון היסטורי מתמקד בשינויים שעברה כל מילה לאורך ההיסטוריה: גלגולי צורתה במהלך הדורות (כגון טֹפֶס > טְפוּס > טִפּוּס > דְּפוּס) וגיווני משמעיה, מהו התיעוד הראשון שלה בשפה ואימתי פסק השימוש בה, במקרה שפסק.
מענה על שאלות אלו מצריך מאגר גדול של טקסטים מתקופות הלשון השונות. בעוד שמילונים היסטוריים לשפות אירופה מסתמכים בדרך כלל על ציטוטים נבחרים מן הספרות של המאות הקודמות, המפעל הישראלי שואף להתבסס על כל הטקסטים העבריים שהגיעו לידינו מן העת העתיקה וראשית ימי הביניים, ועל מבחר גדול של חיבורים מן המאה ה־11 ועד קום המדינה. הטקסטים מוזנים למסד נתונים ממוחשב על פי עדי הנוסח הטובים ביותר שלהם, וכל מילה בהם מתויגת לערכה המילוני המתאים. כך מתאפשר לאחזר בסדר כרונולוגי את כלל מופעיו של כל ערך מילוני מבוקש, להשוות בין המופעים ולנסח באופן מדויק את גלגוליה של כל מילה עברית.
בשל היקפו ודיוקו הפך ברבות השנים מסד הנתונים של המילון ההיסטורי ממאגר פנימי שנועד לסייע בכתיבת ערכי המילון לארכיון ספרותי לאומי העומד בזכות עצמו, והוא כיום המאגר המקיף והמוסמך ביותר לטקסטים...",מדעי הרוח הדיגיטליים,212486,168
זמרשת,"זֶמֶרֶשֶׁת הוא אתר אינטרנט של חברה לתועלת הציבור הפועל לשימור הזמר העברי המוקדם – הפזמונים העבריים שלמן ראשית הציונות ועד שנות ה-50 של המאה ה-20. נכון ליולי 2022 מופיעים באתר 7,770 שירים ו-15,364 הקלטות, שניתן לקרוא את תמליליהם ולהאזין לביצועיהם – לרוב על ידי מיטב מבצעי ומבצעות התקופה, ולעיתים על ידי ותיקי היישוב כיום או משתתפי אירועי ""זמרשת"", המתקיימים במקומות שונים בארץ אחת לחודשיים בהובלת הזמרת נגה אשד. לשירים רבים מוצעות מספר הקלטות. ניתן לצרף קרדיטים לשיר לצד מילות השיר.
אלתרמן כתב כבר לפני כחמישים שנה בשירו ""זמר הפלוגות"" : „אין עם אשר ייסוג מחפירות חייו” בהקשר של קריאה לשימור חומרים היסטוריים. לנוכח היעדר טיפול מוסדי מספק ועניין ציבורי מוגבל, מודגשת חשיבות הצלת החומרים ושימורם לדורות הבאים.
האתר פועל כחוק וברישיון אקו""ם, ועל כן מרבית הביצועים לשירים המובאים בו אינם ניתנים להורדה אלא מוצעים להאזנה חופשית של הציבור בלבד.
אלפי שירים נוספים משנות ה-50 הועלו לרשת בפרויקט אוצר הזמר העברי של קול ישראל.
בשנת 2025 זכה מיזם זמרשת בפרס אנגל של עיריית תל אביב-יפו.


== מטרות המייסדים ==
מייסדי ""זמרשת"" מגדירים עצמם כ""פרויקט חירום להצלה ולמחשוב של הזמר העברי המוקדם"", ומצהירים כי מטרתם העיקרית היא שימור והפצה של הזמר העברי.
מטרות מוצהרות:

לפעול באופן מיידי להצלת כל החומרים שנמצאים בסכנה, תוך...",מדעי הרוח הדיגיטליים,695275,166
עיתונות יהודית היסטורית,"אתר עיתונות יהודית היסטורית הוא מאגר מקוון של עיתונים וכתבי עת היסטוריים מהעולם היהודי. המאגר, שהוקם ומופעל על ידי הספרייה הלאומית ואוניברסיטת תל אביב, מאפשר באמצעות דיגיטציה גישה מקוונת ונוחה לעיתונות העברית מימיה הראשונים, מסוף המאה ה-18 ועד שנות ה-90 של המאה ה-20, ולצדה עיתונות יהודית בשפות שונות, בהן: יידיש, ערבית יהודית, אנגלית, צרפתית, הונגרית, פולנית, ספרדית, פורטוגזית, רוסית, גרמנית, רומנית, שוודית וערבית.


== ייסוד ושותפים ==
האתר הוא מיזם של אוניברסיטת תל אביב והספרייה הלאומית, שהחל כניסוי פרטי בסוף שנות ה-90 על ידי חברת התוכנה הישראלית אוליב תוכנה (Olive Software), במסגרתו נסרקו עותקים היסטוריים של העיתון ""פלסטיין פוסט"" (שמו המקורי של העיתון ""ג'רוזלם פוסט""). חברת אוליב פיתחה תוכנה המאפשרת לעיתונים להפיק מהדורות אלקטרוניות וכן ליצור ארכיון דיגיטלי של גיליונות העבר והווה, המוצגים בפורמט הדפוס האותנטי והמלא בדפדפן האינטרנט. בהמשך עבר הפרויקט לידי חוקר יהדות ארצות האסלאם באוניברסיטת תל אביב ירון צור, שהשתמש בטכנולוגיה לסריקת עיתונות יהודית בארצות ערב, ובשנת 2004 יזם את הרחבת המיזם לאתר חדש שיכיל עיתונים יהודיים מן העולם כולו.
הפרסומים הראשונים שנכללו במיזם היו כ-33 אלף עמודי העיתון ""פלסטיין פוסט"" ובטאוני ארגון ""כל ישראל חברים"". בשנת 2005 הצטרפה הספרייה הלאומית, שכבר הפעילה בנפרד...",מדעי הרוח הדיגיטליים,849192,163
פרויקט בן-יהודה,"פרויקט בן־יהודה (שמו ברשם העמותות: עמותה למחשוב ספרות עברית) הוא מיזם תרבותי המבוסס על עבודת מתנדבים, אשר פועל באינטרנט ומטרתו לשמר, להנגיש ולחשוף לציבור את הקלאסיקות של הספרות העברית בקלות ובאופן חופשי לשימוש. הפרויקט כולל, בין היתר, שירה, סיפורת, תרגום, עיון ומסות בעברית מימי הביניים ועד ימינו.


== תוכן הפרויקט ==

הפרויקט מכיל אך ורק יצירות שנכתבו בשפה העברית (כולל תרגומים לעברית), אך לא את כל היצירות שנכתבו באות עברית, היינו, אינו מכיל יצירות שנכתבו ביידיש, או לאדינו. כל היצירות בפרויקט מוקלדות (ולא נסרקות), ורבות מהן מנוקדות, על מנת לאפשר חיפוש ומחקר מתקדם. המאגר אינו כולל יצירות בעלות אופי תורני מובהק (כיוון שישנם מיזמים אחרים העוסקים בכך), אך כולל חיבורים עיוניים אודות יצירות תורניות או יצירות ספציפיות בעלות אופי דתי, אשר מהוות חלק מכלל יצירתו של יוצר, כמו שירי הקודש של רבי אברהם אבן-עזרא.
במסגרת הפרויקט מוגשים לציבור שלושה סוגים עיקריים של יצירות:

יצירות שאינן מוגנות בזכויות יוצרים, כלומר, הן נחלת הכלל וברשות הציבור (על פי החוק הישראלי, יצירות שמחברן נפטר לפני יותר משבעים שנה)
יצירות שעבורן קיבל הפרויקט רשות פרסום מפורשת מאת בעלי הזכויות (תוך שמירה על זכויותיהם)
יצירות יתומות, היינו יצירות שמצבן החוקי אינו ידוע, כיוון שלא ידוע מיהם בעלי הזכויות עליהן


== היסטוריה ==
המיזם החל...",מדעי הרוח הדיגיטליים,8056,177
"פרויקט השו""ת","פרויקט השו""ת (בשמו הרשמי: מאגר היהדות הממוחשב) הוא מאגר מידע ממוחשב של כתבים יהודיים תורניים עם דגש על ספרות הלכתית וספרי שאלות ותשובות (שו""ת), הכולל מנוע חיפוש המאפשר אחזור מידע מהמאגר על פי מילות חיפוש. הפרויקט החל בשנות השישים של המאה ה-20 במכון ויצמן והיה מהראשונים בעולם לשמירה דיגיטלית של טקסט שלם (""טקסט מלא"") לצורך חיפוש בו. כיום הוא מובל על ידי אוניברסיטת בר-אילן. הפרויקט זכה בפרס ישראל לספרות תורנית לשנת ה'תשס""ז.


== ההיסטוריה של הפרויקט ==
הפרויקט נהגה על ידי פרופ' אביעזרי פרנקל ממכון ויצמן למדע בשנת 1963 כמענה לשאלה שנשאל, במהלך ביקור בארצות הברית, במה יוכל לתרום המחשב ליהדות, והוא קיבל תמיכה כספית ראשונית מראשי מכון ויצמן. פרנקל החל להכניס למחשב שאלות ותשובות מספרות השו""ת באופן שיאפשר חיפוש בכל הטקסט כדי למצוא תשובות בהן נמצאות מילים מבוקשות. הספר הראשון שהוקלד היה חלק משו""ת הריב""ש, מכיוון שצוות חוקרים בראשות פרופ' מנחם אלון מהאוניברסיטה העברית מיפה את הספר בעזרת מחשב, ופרופ' פרנקל רצה להראות את עליונות שיטתו בהשוואה בין שתי השיטות. מנחם סליי היה בין הראשונים שהצטרפו לפרויקט.
הקמת פרויקט השו""ת הייתה שינוי כיוון ממגמת השימוש במפתחות נושאיים מפורטים שהיה נהוג עד אז, והיו שפקפקו במעשיות של הרעיון בגלל ההיקף המוגבל של זיכרון המחשב באותה תקופה. היו גם שחששו שהשימוש בפרויקט יגרום...",מדעי הרוח הדיגיטליים,78945,173
פרויקט תאוי,"פרויקט תאוי (אנגלית: Theoi Project) הוא אתר ספרייה דיגיטלית על המיתולוגיה היוונית וייצוגה בספרות הקלאסית ובאמנות היוונית העתיקה. הוא משמש כהתייחסות חופשית לאלים (תאוי), לרוחות (דיימון), ליצורים מיתולוגיים (שם) ולגיבורי המיתולוגיה והדת היווניות העתיקות. האתר, שהוקם בשנת 2000, מכיל יותר מ-1,500 עמודים ו-1,200 תמונות. באתר יש גם ספרייה של ספרות קלאסית בנושא המיתולוגיה היוונית, לרבות יצירותיהם של רבים מהמשוררים הפחות מוכרים.
את האתר הקים אהרון ג'יי אטסמה מאוקלנד, ניו זילנד.


== ראו גם ==
פרויקט פרסאוס


== קישורים חיצוניים ==
 אתר האינטרנט הרשמי של פרויקט תאוי (באנגלית)


== הערות שוליים ==",מדעי הרוח הדיגיטליים,2364557,68
רננה קידר,"רננה קידר היא חוקרת ישראלית, פרופסורית חברה בפקולטות למדעי הרוח ולמשפטים באוניברסיטה העברית בירושלים.


== ביוגרפיה ==
שירתה בגלי צה""ל (1997-1995) ועבדה כמפיקת חדשות ב־AP (1998-1997). ב-2003 סיימה לימודי תואר ראשון במשפטים ובמדעי המדינה באוניברסיטת תל אביב. התמחתה, והמשיכה כפרקליטה, במחלקת הבג""צים בפרקליטות המדינה (2007-2003). ב-2009–2015 למדה לדוקטורט בספרות השוואתית באוניברסיטת סטנפורד, שם עסקה בבחינה בין-תחומית של השינויים בתפיסות הצדק שלאחר זוועות (Post-atrocity justice) מ-1945 ועד פיגועי 11 בספטמבר, דרך פריזמה משותפת של משפט ותרבות. ב-2016 עמדה בראש קבוצת מחקר במכון ון ליר, וב-2017 ו-2018 הייתה חוקרת אורחת במרכז לניתוח מרחבי וטקסטואלי (CESTA) באוניברסיטת סטנפורד. הייתה עמיתת פוסט דוקטורט באוניברסיטה העברית: במרכז מינרבה לזכויות האדם וכעמיתת מרטין בובר.
החל מ-2020 החלה ללמד במינוי משותף בפקולטות למדעי הרוח ולמשפטים באוניברסיטה העברית. כן היא עומדת בראש מעבדת לנדקר, במרכז למדעי הרוח הדיגיטליים אותו הקימה, שם היא עוסקת בין היתר בטקסטים משפטיים ובעדויות שואה. ב-2026 קודמה לדרגת פרופסור חבר. קידר חברה במרכז פדרמן לחקר הסייבר ובמרכז למחקר רב תחומי במדעי הנתונים, שניהם באוניברסיטה העברית.
קידר היא מנהלת אקדמית ומנהלת מחלקת תוכן במיזם עדות 710.
ביוני 2025 נעצרה קידר בהפגנה שקטה מול ביתו...",מדעי הרוח הדיגיטליים,2516408,150
