נושא,מילה,משקל
1,בתל,0.0338
1,חפירות,0.0338
1,חשפו,0.0338
1,עשירה,0.019
1,בית,0.019
1,לבירת,0.019
1,ייסד,0.019
1,ישראל,0.019
1,המלוכה,0.019
1,ירושלים,0.019
2,מלכותי,0.0249
2,רבים,0.0249
2,גילתה,0.0249
2,הברזל,0.0249
2,חותם,0.0249
2,קרמיקה,0.0249
2,יהודה,0.0249
2,נמצאה,0.0249
2,חפירה,0.0249
2,פלשתית,0.0249
3,ארכיאולוגיים,0.0852
3,נתונים,0.0481
3,ממצאים,0.0433
3,לתיעוד,0.0265
3,מסדי,0.0265
3,ויזואליזציה,0.0265
3,באמצעות,0.0265
3,חומה,0.0217
3,אתר,0.0217
3,העשירית,0.0217
4,תקופת,0.0291
4,היסטוריים,0.0291
4,לניתוח,0.0291
4,ייצרה,0.016
4,הביניים,0.016
4,הגאונים,0.016
4,הלכתית,0.016
4,ימי,0.016
4,ספרות,0.016
4,הסתיים,0.016
