מזהה,טקסט,מילים,נושא_ראשי
1,חפירות בתל מגידו חשפו שכבות מהתקופה הכנענית והברונזה,חפירות בתל מגידו חשפו שכבות הכנענית והברונזה,1
2,ממצאים ארכיאולוגיים ברמלה כוללים קרמיקה מהתקופה האסלאמית,ממצאים ארכיאולוגיים ברמלה כוללים קרמיקה האסלאמית,3
3,חפירה בירושלים גילתה חותם מלכותי מהתקופה הברזל,חפירה בירושלים גילתה חותם מלכותי הברזל,2
4,אתר ארכיאולוגי בתל חצור מציג שרידי חומה מהמאה העשירית,אתר ארכיאולוגי בתל חצור מציג שרידי חומה העשירית,3
5,ממצאי ברונזה מאתר לכיש מעידים על תרבות עשירה,ממצאי ברונזה מאתר לכיש מעידים תרבות עשירה,1
6,חפירות בתל ערד חשפו מקדש ישראלי מהתקופה המלוכה,חפירות בתל ערד חשפו מקדש ישראלי המלוכה,1
7,קרמיקה פלשתית נמצאה באתרים רבים בשפלה יהודה,קרמיקה פלשתית נמצאה באתרים רבים בשפלה יהודה,2
8,דוד המלך ייסד את ירושלים לבירת ממלכת ישראל,דוד המלך ייסד ירושלים לבירת ממלכת ישראל,1
9,חורבן בית המקדש הראשון בשנת תקפ לפנה ספירה,חורבן בית המקדש הראשון בשנת תקפ ספירה,1
10,הגלות הבבלית השפיעה עמוקות על התרבות היהודית,הגלות הבבלית השפיעה עמוקות התרבות היהודית,2
11,תקופת בית שני כוללת השפעה פרסית הלניסטית ורומית,תקופת בית שני כוללת השפעה פרסית הלניסטית ורומית,4
12,המרד הגדול ברומאים הסתיים בחורבן הבית השני,המרד הגדול ברומאים הסתיים בחורבן הבית השני,4
13,תקופת הגאונים בבבל ייצרה ספרות הלכתית עשירה,תקופת הגאונים בבבל ייצרה ספרות הלכתית עשירה,4
14,היגירה לספרד הוליכה לתרחיש של ימי הביניים,היגירה לספרד הוליכה לתרחיש ימי הביניים,4
15,כלים דיגיטליים לניתוח טקסטים היסטוריים עבריים,כלים דיגיטליים לניתוח טקסטים היסטוריים עבריים,4
16,ויזואליזציה של נתונים ארכיאולוגיים באמצעות GIS,ויזואליזציה נתונים ארכיאולוגיים באמצעות,3
17,מסדי נתונים לתיעוד ממצאים ארכיאולוגיים,מסדי נתונים לתיעוד ממצאים ארכיאולוגיים,3
18,עיבוד שפה טבעית לניתוח הגניזה הקהירית,עיבוד שפה טבעית לניתוח הגניזה הקהירית,4
19,מפות דיגיטליות לחקר ישובים היסטוריים,מפות דיגיטליות לחקר ישובים היסטוריים,4
20,בינה מלאכותית לזיהוי אתרים ארכיאולוגיים בצילומי אויר,בינה מלאכותית לזיהוי אתרים ארכיאולוגיים בצילומי אויר,4
