תקופה,התחלה,סיום,קטגוריה,צבע
פרהיסטורי,-100000,-3500,קדם-היסטוריה,#9b59b6
כלקוליתי,-4500,-3300,פרהיסטוריה,#8e44ad
ברונזה קדומה,-3300,-2000,ברונזה,#d35400
ברונזה תיכונה,-2000,-1550,ברונזה,#e67e22
ברונזה מאוחרת,-1550,-1200,ברונזה,#f39c12
ברזל א,-1200,-1000,ברזל,#27ae60
ברזל ב (מלוכה),-1000,-586,ברזל,#2ecc71
בבלי ופרסי,-586,-332,קלאסי,#3498db
הלניסטי,-332,-37,קלאסי,#2980b9
רומי,-37,324,קלאסי,#1abc9c
ביזנטי,324,638,ביזנטי,#16a085
אסלאמי קדום,638,1099,מימה״ב,#e74c3c
צלבני,1099,1291,מימה״ב,#c0392b
ממלוכי,1291,1517,מאוחר,#7f8c8d
עות'מאני,1517,1917,מאוחר,#95a5a6
מנדטורי,1917,1948,מודרני,#2c3e50
מדינת ישראל,1948,2025,מודרני,#34495e
