שם,lat,lon,תקופה,שכבות,חשיבות,אזור
מגידו,32.584,35.183,ברונזה/ברזל,26,10,צפון
חצור,33.017,35.567,ברונזה/ברזל,21,9,צפון
לכיש,31.561,34.848,ברונזה/ברזל,18,9,דרום
ירושלים,31.769,35.216,ברונזה עד היום,30,10,מרכז
ערד,31.261,35.118,ברונזה/ברזל,12,8,דרום
בית שאן,32.498,35.5,ברונזה עד ביזנטי,18,8,צפון
מגרשות,31.801,34.748,ברונזה/ברזל,8,7,מרכז
כרמל (מערות),32.732,35.061,פרהיסטורי,5,9,צפון
ים המלח,31.5,35.467,ברונזה עד ביזנטי,15,9,מרכז
תמנע,29.776,35.001,ברונזה,6,8,דרום
קיסריה,32.495,34.889,הלניסטי-ביזנטי,10,8,מרכז
בית גוברין,31.609,34.894,ברונזה עד ביזנטי,9,7,דרום
